capital,codigo_ibge,codigo_uf,ddd,fuso_horario,latitude,longitude,nome,siafi_id
0,5200050,52,62,America/Sao_Paulo,-16.7573,-49.4412,Abadia de Goiás,1050
0,3100104,31,34,America/Sao_Paulo,-18.4831,-47.3916,Abadia dos Dourados,4001
0,5200100,52,62,America/Sao_Paulo,-16.197,-48.7057,Abadiânia,9201
0,3100203,31,37,America/Sao_Paulo,-19.1551,-45.4444,Abaeté,4003
0,1500107,15,91,America/Sao_Paulo,-1.72183,-48.8788,Abaetetuba,401
0,2300101,23,88,America/Sao_Paulo,-7.34588,-39.0416,Abaiara,1301
0,2900108,29,77,America/Sao_Paulo,-13.2488,-41.6619,Abaíra,3301
0,2900207,29,75,America/Sao_Paulo,-8.72073,-39.1162,Abaré,3303
0,4100103,41,43,America/Sao_Paulo,-23.3049,-50.3133,Abatiá,7401
0,4200051,42,49,America/Sao_Paulo,-27.6126,-51.0233,Abdon Batista,9939
0,1500131,15,94,America/Sao_Paulo,-4.95333,-48.3933,Abel Figueiredo,375
0,4200101,42,49,America/Sao_Paulo,-26.5716,-52.3229,Abelardo Luz,8001
0,3100302,31,31,America/Sao_Paulo,-20.2996,-42.4743,Abre Campo,4005
0,2600054,26,81,America/Sao_Paulo,-7.90072,-34.8984,Abreu e Lima,2631
0,1700251,17,63,America/Sao_Paulo,-9.62101,-49.1518,Abreulândia,337
0,3100401,31,31,America/Sao_Paulo,-20.359,-43.1439,Acaiaca,4007
0,2100055,21,99,America/Sao_Paulo,-4.94714,-47.5004,Açailândia,961
0,2900306,29,75,America/Sao_Paulo,-11.6575,-38.0197,Acajutiba,3305
0,1500206,15,91,America/Sao_Paulo,-1.95383,-48.1985,Acará,403
0,2300150,23,85,America/Sao_Paulo,-4.22083,-38.7055,Acarape,1231
0,2300200,23,88,America/Sao_Paulo,-2.88769,-40.1183,Acaraú,1303
0,2400109,24,84,America/Sao_Paulo,-6.4282,-36.6347,Acari,1601
0,2200053,22,89,America/Sao_Paulo,-8.21954,-41.0831,Acauã,266
0,4300034,43,53,America/Sao_Paulo,-31.8665,-54.1615,Aceguá,1118
0,2300309,23,88,America/Sao_Paulo,-6.08911,-39.448,Acopiara,1305
0,5100102,51,65,America/Porto_Velho,-15.194,-56.3632,Acorizal,9001
0,1200013,12,68,America/Rio_Branco,-9.82581,-66.8972,Acrelândia,643
0,5200134,52,64,America/Sao_Paulo,-17.396,-50.3749,Acreúna,9645
0,2400208,24,84,America/Sao_Paulo,-5.58362,-36.914,Açu,1603
0,3100500,31,33,America/Sao_Paulo,-19.0671,-42.5419,Açucena,4009
0,3500105,35,18,America/Sao_Paulo,-21.682,-51.0737,Adamantina,6101
0,5200159,52,64,America/Sao_Paulo,-16.4127,-50.1657,Adelândia,9769
0,3500204,35,17,America/Sao_Paulo,-21.2325,-49.6451,Adolfo,6103
0,4100202,41,41,America/Sao_Paulo,-24.6606,-48.9922,Adrianópolis,7403
0,2900355,29,75,America/Sao_Paulo,-10.5437,-38.1113,Adustina,3253
0,2600104,26,87,America/Sao_Paulo,-7.74312,-37.631,Afogados da Ingazeira,2301
0,2400307,24,84,America/Sao_Paulo,-5.49229,-36.5075,Afonso Bezerra,1605
0,3200102,32,27,America/Sao_Paulo,-20.0778,-41.1261,Afonso Cláudio,5601
0,2100105,21,98,America/Sao_Paulo,-4.13631,-43.3275,Afonso Cunha,701
0,2600203,26,87,America/Sao_Paulo,-8.51136,-41.0095,Afrânio,2303
0,1500305,15,91,America/Sao_Paulo,-0.154874,-50.3861,Afuá,405
0,2600302,26,81,America/Sao_Paulo,-8.45966,-35.9447,Agrestina,2305
0,2200103,22,86,America/Sao_Paulo,-5.79676,-42.6664,Agricolândia,1001
0,4200200,42,47,America/Sao_Paulo,-27.4087,-49.822,Agrolândia,8003
0,4200309,42,47,America/Sao_Paulo,-27.2662,-49.708,Agronômica,8005
0,1500347,15,94,America/Sao_Paulo,-6.79053,-50.4791,Água Azul do Norte,383
0,3100609,31,33,America/Sao_Paulo,-17.9914,-42.3806,Água Boa,4011
0,5100201,51,66,America/Porto_Velho,-14.051,-52.1601,Água Boa,9191
0,2200202,22,86,America/Sao_Paulo,-5.88856,-42.637,Água Branca,1003
0,2500106,25,83,America/Sao_Paulo,-7.51144,-37.6357,Água Branca,1901
0,2700102,27,82,America/Sao_Paulo,-9.262,-37.938,Água Branca,2701
0,5000203,50,67,America/Porto_Velho,-20.4452,-52.879,Água Clara,9003
0,3100708,31,34,America/Sao_Paulo,-20.0576,-48.1069,Água Comprida,4013
0,4200408,42,49,America/Sao_Paulo,-26.9985,-51.5528,Água Doce,8007
0,2100154,21,98,America/Sao_Paulo,-2.84048,-42.1189,Água Doce do Maranhão,104
0,3200169,32,27,America/Sao_Paulo,-18.5482,-40.9854,Água Doce do Norte,5717
0,2900405,29,75,America/Sao_Paulo,-11.8618,-38.7639,Água Fria,3307
0,5200175,52,62,America/Sao_Paulo,-14.9778,-47.7823,Água Fria de Goiás,9771
0,5200209,52,64,America/Sao_Paulo,-18.0771,-48.7603,Água Limpa,9203
0,2400406,24,84,America/Sao_Paulo,-6.20351,-38.2941,Água Nova,1607
0,2600401,26,81,America/Sao_Paulo,-8.70609,-35.5263,Água Preta,2307
0,4300059,43,54,America/Sao_Paulo,-28.1672,-52.031,Água Santa,8499
0,3500303,35,19,America/Sao_Paulo,-22.0572,-46.9735,Aguaí,6105
0,3100807,31,35,America/Sao_Paulo,-20.9439,-45.3915,Aguanil,4015
0,2600500,26,87,America/Sao_Paulo,-9.11125,-37.1226,Águas Belas,2309
0,3500402,35,19,America/Sao_Paulo,-21.9319,-46.7176,Águas da Prata,6107
0,4200507,42,49,America/Sao_Paulo,-27.0754,-52.9808,Águas de Chapecó,8009
0,3500501,35,19,America/Sao_Paulo,-22.4733,-46.6314,Águas de Lindóia,6109
0,3500550,35,14,America/Sao_Paulo,-22.8812,-49.2421,Águas de Santa Bárbara,7019
0,3500600,35,19,America/Sao_Paulo,-22.5977,-47.8734,Águas de São Pedro,6111
0,3100906,31,33,America/Sao_Paulo,-17.0802,-40.9384,Águas Formosas,4017
0,4200556,42,49,America/Sao_Paulo,-26.8794,-52.8568,Águas Frias,5577
0,5200258,52,61,America/Sao_Paulo,-15.7617,-48.2816,Águas Lindas de Goiás,1052
0,4200606,42,48,America/Sao_Paulo,-27.6963,-48.8243,Águas Mornas,8011
